source_metric,metric,category,definition,unit,input_signals,preprocessing,key_parameters,implementation_type,source_function_or_package,role_in_revision,minimum_evaluable_n,n_Pre,n_Stim,n_Post,n_Stim_Pre,n_Post_Pre,n_Post_Stim,Pre_mean,Pre_SD,Stim_mean,Stim_SD,Post_mean,Post_SD,Stim_Pre_mean_difference,dz_Stim_Pre,p_Stim_Pre,p_FDR_Stim_Pre,BF10_Stim_Pre,BF_n_Stim_Pre,BF_model_Stim_Pre,BF_cauchy_scale_Stim_Pre,BF_raw_source_Stim_Pre,BF01_Stim_Pre,Post_Pre_mean_difference,dz_Post_Pre,p_Post_Pre,p_FDR_Post_Pre,BF01_Post_Pre,Post_Stim_mean_difference,dz_Post_Stim,p_Post_Stim,p_FDR_Post_Stim,Friedman_chi2,Friedman_p,estimability_status,Reliability_flag,retention_location,analysis_source,NA_reason,definition_source,unit_source
GC3_F_RRI_to_PTT,GC3_F_RRI_to_PAT,Trivariate GC,Trivariate VAR F statistic for the named direction while controlling the third standardized variable,dimensionless F statistic (standardized 4-Hz series),RRI; SBP; PAT,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP/PAT series; PAT QC exclusions applied,exploratory trivariate model; PAT includes pre-ejection period; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_54_trivariate_ptt.py::compute_trivariate_gc,exploratory_directionality_or_model_decomposition,16,16,16,16,16,16,16,7.99,10.1,9.81,11.08,11.34,13.8,1.82,0.85,0.0034,0.0368,12.0784,16,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,0.0827922,3.35,0.34,0.0833,0.384,1.8,1.53,0.14,0.782,0.933,NA,NA,limited_estimability,exploratory_directionality_diagnostic_limitations;PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p; PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,analysis_54_trivariate_ptt.py::compute_trivariate_gc,analysis_54_trivariate_ptt.py::compute_trivariate_gc
GC3_F_RRI_to_SBP,GC3_F_RRI_to_SBP,Trivariate GC,Trivariate VAR F statistic for the named direction while controlling the third standardized variable,dimensionless F statistic (standardized 4-Hz series),RRI; SBP; PAT,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP/PAT series; PAT QC exclusions applied,exploratory trivariate model; PAT includes pre-ejection period; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_54_trivariate_ptt.py::compute_trivariate_gc,exploratory_directionality_or_model_decomposition,16,16,16,16,16,16,16,15.47,9.01,18.59,11.13,17.8,10.47,3.12,0.53,0.0739,0.283,1.46669,16,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,0.681807,2.33,0.39,0.211,0.695,1.43,-0.79,-0.17,0.464,0.833,NA,NA,limited_estimability,exploratory_directionality_diagnostic_limitations;PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p; PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,analysis_54_trivariate_ptt.py::compute_trivariate_gc,analysis_54_trivariate_ptt.py::compute_trivariate_gc
GC3_F_SBP_to_PTT,GC3_F_SBP_to_PAT,Trivariate GC,Trivariate VAR F statistic for the named direction while controlling the third standardized variable,dimensionless F statistic (standardized 4-Hz series),RRI; SBP; PAT,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP/PAT series; PAT QC exclusions applied,exploratory trivariate model; PAT includes pre-ejection period; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_54_trivariate_ptt.py::compute_trivariate_gc,exploratory_directionality_or_model_decomposition,16,16,16,16,16,16,16,3.83,1.99,3.92,1.95,3.81,2.55,0.09,0.04,0.597,0.832,0.258169,16,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,3.87344,-0.02,-0.01,0.821,0.963,3.91,-0.11,-0.06,0.528,0.833,NA,NA,limited_estimability,exploratory_directionality_diagnostic_limitations;PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p; PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,analysis_54_trivariate_ptt.py::compute_trivariate_gc,analysis_54_trivariate_ptt.py::compute_trivariate_gc
GC3_F_SBP_to_RRI,GC3_F_SBP_to_RRI,Trivariate GC,Trivariate VAR F statistic for the named direction while controlling the third standardized variable,dimensionless F statistic (standardized 4-Hz series),RRI; SBP; PAT,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP/PAT series; PAT QC exclusions applied,exploratory trivariate model; PAT includes pre-ejection period; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_54_trivariate_ptt.py::compute_trivariate_gc,exploratory_directionality_or_model_decomposition,16,16,16,16,16,16,16,4.22,2.31,5.48,2,4.2,2.43,1.26,0.44,0.0443,0.227,0.884277,16,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,1.13087,-0.02,-0.01,0.782,0.963,3.91,-1.28,-0.46,0.105,0.706,NA,NA,limited_estimability,exploratory_directionality_diagnostic_limitations;PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p; PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,analysis_54_trivariate_ptt.py::compute_trivariate_gc,analysis_54_trivariate_ptt.py::compute_trivariate_gc
PDC_PTT_to_RRI_Mayer,PDC_PAT_to_RRI_Mayer,PDC,Mean squared partial directed coherence over 0.08-0.12 Hz for the named direction,dimensionless squared normalized coefficient,RRI; SBP; PAT,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP/PAT series; PAT QC exclusions applied,exploratory trivariate model; PAT includes pre-ejection period; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_54_trivariate_ptt.py::compute_pdc,exploratory_directionality_or_model_decomposition,16,16,16,16,16,16,16,0.03,0.04,0.01,0.01,0.04,0.1,-0.02,-0.46,0.0739,0.283,1.01304,16,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,0.987133,0.01,0.16,0.98,1,3.27,0.03,0.28,0.193,0.833,NA,NA,limited_estimability,exploratory_directionality_diagnostic_limitations;PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p; PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,analysis_54_trivariate_ptt.py::compute_pdc,analysis_54_trivariate_ptt.py::compute_pdc
PDC_PTT_to_SBP_Mayer,PDC_PAT_to_SBP_Mayer,PDC,Mean squared partial directed coherence over 0.08-0.12 Hz for the named direction,dimensionless squared normalized coefficient,RRI; SBP; PAT,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP/PAT series; PAT QC exclusions applied,exploratory trivariate model; PAT includes pre-ejection period; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_54_trivariate_ptt.py::compute_pdc,exploratory_directionality_or_model_decomposition,16,16,16,16,16,16,16,0.03,0.06,0.02,0.03,0.02,0.04,-0.01,-0.19,0.86,0.961,0.325924,16,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,3.0682,-0.01,-0.35,0.0934,0.384,1.72,0,-0.08,0.668,0.933,NA,NA,limited_estimability,exploratory_directionality_diagnostic_limitations;PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p; PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,analysis_54_trivariate_ptt.py::compute_pdc,analysis_54_trivariate_ptt.py::compute_pdc
PDC_RRI_to_SBP_Mayer,PDC_RRI_to_SBP_Mayer,PDC,Mean squared partial directed coherence over 0.08-0.12 Hz for the named direction,dimensionless squared normalized coefficient,RRI; SBP; PAT,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP/PAT series; PAT QC exclusions applied,exploratory trivariate model; PAT includes pre-ejection period; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_54_trivariate_ptt.py::compute_pdc,exploratory_directionality_or_model_decomposition,16,16,16,16,16,16,16,0.16,0.11,0.12,0.07,0.12,0.06,-0.04,-0.45,0.117,0.413,0.946836,16,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,1.05615,-0.04,-0.33,0.274,0.701,1.88,0,0.01,0.86,0.933,NA,NA,limited_estimability,exploratory_directionality_diagnostic_limitations;PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p; PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,analysis_54_trivariate_ptt.py::compute_pdc,analysis_54_trivariate_ptt.py::compute_pdc
PDC_SBP_to_RRI_Mayer,PDC_SBP_to_RRI_Mayer,PDC,Mean squared partial directed coherence over 0.08-0.12 Hz for the named direction,dimensionless squared normalized coefficient,RRI; SBP; PAT,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP/PAT series; PAT QC exclusions applied,exploratory trivariate model; PAT includes pre-ejection period; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_54_trivariate_ptt.py::compute_pdc,exploratory_directionality_or_model_decomposition,16,16,16,16,16,16,16,0.18,0.14,0.22,0.19,0.2,0.16,0.04,0.23,0.404,0.759,0.36573,16,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,2.73426,0.02,0.13,0.376,0.72,3.47,-0.02,-0.16,0.86,0.933,NA,NA,limited_estimability,exploratory_directionality_diagnostic_limitations;PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p; PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,analysis_54_trivariate_ptt.py::compute_pdc,analysis_54_trivariate_ptt.py::compute_pdc
rho_u,rho_u,VAR Residuals,Contemporaneous correlation between bivariate VAR innovations,dimensionless correlation coefficient,RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_53_innovation_var.py::compute_innovation_metrics,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0.32,0.13,0.29,0.2,0.22,0.21,-0.03,-0.18,0.167,0.55,0.313798,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,3.18676,-0.1,-0.6,0.0028,0.0644,0.35,-0.07,-0.28,0.393,0.833,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_53_innovation_var.py::compute_innovation_metrics,analysis_53_innovation_var.py::compute_innovation_metrics
sigma2_RRI,sigma2_RRI,VAR Residuals,Bivariate VAR innovation variance for standardized RRI,dimensionless squared standardized-series unit,RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_53_innovation_var.py::compute_innovation_metrics,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0,0,0,0,0,0,0,-0.4,0.346,0.759,0.812429,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,1.23088,0,0.08,1,1,3.91,0,0.34,0.346,0.833,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_53_innovation_var.py::compute_innovation_metrics,analysis_53_innovation_var.py::compute_innovation_metrics
sigma2_SBP,sigma2_SBP,VAR Residuals,Bivariate VAR innovation variance for standardized SBP,dimensionless squared standardized-series unit,RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_53_innovation_var.py::compute_innovation_metrics,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0,0,0,0,0,0,0,-0.12,0.899,0.961,0.27383,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,3.6519,0,-0.21,0.766,0.963,2.9,0,-0.02,0.865,0.933,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_53_innovation_var.py::compute_innovation_metrics,analysis_53_innovation_var.py::compute_innovation_metrics
Snn_RRI_Mayer,Snn_RRI_Mayer,Innovation Variance,Mayer-band integrated RRI innovation spectrum from the standardized bivariate VAR,dimensionless squared standardized-series unit,RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_53_innovation_var.py::compute_innovation_metrics,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0.23,0.15,0.19,0.11,0.2,0.1,-0.04,-0.31,0.212,0.61,0.507668,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,1.96979,-0.03,-0.27,0.369,0.72,2.33,0.01,0.07,0.766,0.933,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_53_innovation_var.py::compute_innovation_metrics,analysis_53_innovation_var.py::compute_innovation_metrics
innov_RRI_from_SBP_frac_Mayer,innov_RRI_from_SBP_frac_Mayer,Innovation Variance,Fraction of Mayer-band RRI innovation attributed to the SBP-driven component,dimensionless proportion,RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_53_innovation_var.py::compute_innovation_metrics,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0.15,0.12,0.19,0.16,0.21,0.13,0.04,0.31,0.468,0.759,0.509959,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,1.96094,0.06,0.63,0.0237,0.218,0.28,0.02,0.19,0.417,0.833,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_53_innovation_var.py::compute_innovation_metrics,analysis_53_innovation_var.py::compute_innovation_metrics
innov_RRI_own_frac_Mayer,innov_RRI_own_frac_Mayer,Innovation Variance,Fraction of Mayer-band RRI innovation attributed to the RRI self component,dimensionless proportion,RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_53_innovation_var.py::compute_innovation_metrics,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0.85,0.12,0.81,0.16,0.79,0.13,-0.04,-0.31,0.468,0.759,0.509959,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,1.96094,-0.06,-0.63,0.0237,0.218,0.28,-0.02,-0.19,0.417,0.833,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_53_innovation_var.py::compute_innovation_metrics,analysis_53_innovation_var.py::compute_innovation_metrics
SNR_openloop_Mayer,SNR_openloop_Mayer,CGN,Open-loop Mayer-band signal-to-noise ratio gamma-squared/(1-gamma-squared),dimensionless ratio,RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_55_cgn.py::compute_cgn_metrics,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,5.05,4.54,6.58,6.28,5.61,5.4,1.53,0.2,0.551,0.792,0.338402,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,2.95506,0.56,0.1,0.966,1,3.8,-0.97,-0.11,0.393,0.833,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_55_cgn.py::compute_cgn_metrics,analysis_55_cgn.py::compute_cgn_metrics
SNR_openloop_Mayer_dB,SNR_openloop_Mayer_dB,CGN,Ten times the base-10 logarithm of the open-loop Mayer-band signal-to-noise ratio,dB,RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_55_cgn.py::compute_cgn_metrics,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,5.48,3.81,6.15,4.7,5.86,3.88,0.67,0.12,0.67,0.857,0.275202,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,3.63369,0.38,0.1,0.799,0.963,3.8,-0.29,-0.05,0.799,0.933,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_55_cgn.py::compute_cgn_metrics,analysis_55_cgn.py::compute_cgn_metrics
Snn_Syy_ratio_Mayer,Snn_Syy_ratio_Mayer,CGN,Mayer-band open-loop noise-to-output spectrum ratio,dimensionless ratio,RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_55_cgn.py::compute_cgn_metrics,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0.22,0.14,0.2,0.17,0.2,0.16,-0.02,-0.11,0.799,0.918,0.267741,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,3.73495,-0.02,-0.12,0.265,0.701,3.67,0,-0.02,0.468,0.833,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_55_cgn.py::compute_cgn_metrics,analysis_55_cgn.py::compute_cgn_metrics
Snn_openloop_Mayer,Snn_openloop_Mayer,CGN,Mayer-band integrated open-loop RRI noise spectrum,ms^2,RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_55_cgn.py::compute_cgn_metrics,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,67.79,58.5,101.34,184.2,64.06,86.18,33.55,0.23,0.229,0.619,0.370389,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,2.69986,-3.73,-0.05,0.346,0.72,4.03,-37.28,-0.26,0.442,0.833,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_55_cgn.py::compute_cgn_metrics,analysis_55_cgn.py::compute_cgn_metrics
gamma2_mean_Mayer,gamma2_mean_Mayer,CGN,Duplicate of Coh_mean; retained for complete reporting of the exploratory panel,dimensionless mean squared coherence,RRI; SBP,exploratory phase-specific 4-Hz interpolated and standardized RRI/SBP series,exploratory model-based panel; distinct from focused native paired-beat VAR; diagnostic limitations apply,project-specific implementation using standard scientific-computing functions,analysis_55_cgn.py::compute_cgn_metrics,exploratory_directionality_or_model_decomposition,18,18,18,18,18,18,18,0.75,0.15,0.76,0.18,0.76,0.15,0.01,0.08,0.67,0.857,0.255996,18,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,3.90632,0.01,0.1,0.899,0.963,3.8,0,-0.01,0.832,0.933,NA,NA,estimable_all_18,exploratory_panel_only,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p,analysis_55_cgn.py::compute_cgn_metrics,analysis_55_cgn.py::compute_cgn_metrics
PTT_mean,PAT_mean,PAT,Mean pulse arrival time; includes the pre-ejection period,ms,R-wave time; radial-pressure peak time,native paired beats; PAT = radial-pressure peak time minus reconstructed R-wave time,earliest SBP peak 0–500 ms after R wave; PAT includes pre-ejection period,project-specific implementation using standard scientific-computing functions,analysis_54_trivariate_ptt.py::phase PAT preprocessing,exploratory_context,16,16,16,16,16,16,16,308.85,68.84,308.94,70.09,309.09,67.64,0.09,0.03,0.98,1,0.256742,16,paired JZS t model,0.707107,retained_participant_level_phase_values; controlled access,3.89496,0.24,0.05,0.9,0.963,3.85,0.15,0.03,0.86,0.933,NA,NA,limited_estimability,PAT_includes_PEP;PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,SI_only,exploratory_coupling_panel,not available in authoritative submitted summary or revised central reanalysis: Friedman_chi2;Friedman_p; PAT_QC_excluded_S13_S16_all_beat_abs_PAT_lt_1e-6_ms,analysis_54_trivariate_ptt.py::phase PAT preprocessing,analysis_54_trivariate_ptt.py::phase PAT preprocessing
