metric,category,definition,unit,input_signals,preprocessing,implementation_type,repository_code_module,role_in_revision,key_parameters,source_function_or_package,definition_status,n,Pre_mean,Pre_SD,Stim_mean,Stim_SD,Post_mean,Post_SD,dz_Stim_Pre,p_Stim_Pre,p_FDR_Stim_Pre,BF01_Stim_Pre,dz_Post_Pre,p_Post_Pre,p_FDR_Post_Pre,BF01_Post_Pre,dz_Post_Stim,p_Post_Stim,p_FDR_Post_Stim,Friedman_chi2,Friedman_p,Reliability_flag,retention_location,estimability_status,analysis_source,NA_reason
ApEn,Entropy,Approximate entropy of native RRI,dimensionless,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s04_entropy.py::compute_entropy,exploratory_panel_only,antropy.app_entropy; order=2,hrv_panel/src/s04_entropy.py:compute_entropy,CODE_VERIFIED,18,1.11,0.08,1.11,0.07,1.11,0.09,-0,0.832,0.977,4.11,0.02,1,1,4.1,0.03,1,1,0.44,0.801,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
FuzzyEn,Entropy,Fuzzy entropy of native RRI,dimensionless,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s04_entropy.py::compute_entropy,exploratory_panel_only,embedding m=2; tolerance=0.2*SD; exponent=2,hrv_panel/src/s04_entropy.py:compute_entropy,CODE_VERIFIED,18,1.34,0.23,1.32,0.23,1.28,0.24,-0.13,0.799,0.953,3.63,-0.34,0.167,1,1.68,-0.28,0.13,0.436,1.44,0.486,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
PermEn,Entropy,Normalized permutation entropy of native RRI,dimensionless,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s04_entropy.py::compute_entropy,exploratory_panel_only,order=3; delay=1; normalize=True,hrv_panel/src/s04_entropy.py:compute_entropy,CODE_VERIFIED,18,0.94,0.05,0.95,0.04,0.94,0.05,0.07,0.64,0.927,3.94,-0.36,0.181,1,1.52,-0.3,0.265,0.54,1.44,0.486,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
MSE_slope,Entropy,Slope of sample entropy across coarse-graining scales 1-5,dimensionless per scale,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s04_entropy.py::compute_entropy,exploratory_panel_only,linear slope; sample entropy order=2,hrv_panel/src/s04_entropy.py:compute_entropy,CODE_VERIFIED,18,0.09,0.11,0.09,0.11,0.09,0.1,-0.01,0.966,0.993,4.11,-0.01,0.865,1,4.11,0,0.799,0.895,0.44,0.801,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
ShannonEn,Entropy,Base-2 Shannon entropy of an RRI histogram,bits,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s04_entropy.py::compute_entropy,exploratory_panel_only,Sturges histogram bins,hrv_panel/src/s04_entropy.py:compute_entropy,CODE_VERIFIED,18,2.8,0.15,2.78,0.21,2.86,0.16,-0.14,0.551,0.92,3.55,0.31,0.284,1,2,0.36,0.13,0.436,3.44,0.179,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
DispEn,Entropy,Dispersion entropy of native RRI,nats,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_extended_entropy,exploratory_panel_only,embedding m=2; classes=6; delay=1; normal-CDF mapping,hrv_panel/src/s09_extended_metrics.py:compute_extended_entropy,CODE_VERIFIED,18,3.05,0.19,3.03,0.2,2.98,0.19,-0.1,0.702,0.927,3.79,-0.47,0.119,1,0.81,-0.49,0.0432,0.355,4.33,0.115,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
MSE_CI,Entropy,Area under the sample-entropy curve across coarse-graining scales 1-20,dimensionless scale units,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_extended_entropy,exploratory_panel_only,trapezoidal integration; sample entropy order=2,hrv_panel/src/s09_extended_metrics.py:compute_extended_entropy,CODE_VERIFIED,18,17.52,4.06,17.59,4.94,17.73,4.43,0.03,0.932,0.986,4.09,0.05,0.899,1,4.02,0.03,0.702,0.88,1.78,0.411,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
LZC,Entropy,Normalized Lempel-Ziv complexity of median-binarized RRI,dimensionless,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_extended_entropy,exploratory_panel_only,binary threshold=series median,hrv_panel/src/s09_extended_metrics.py:compute_extended_entropy,CODE_VERIFIED,18,0.78,0.12,0.8,0.13,0.77,0.13,0.14,0.417,0.92,3.55,-0.09,0.766,1,3.85,-0.25,0.346,0.611,1.44,0.486,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
DFA_alpha1,Fractal/Complexity,Short-range detrended fluctuation analysis scaling exponent,dimensionless exponent,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s05_fractal_complexity.py::compute_fractal_complexity,exploratory_panel_only,nolds.dfa; window sizes 4-16 beats,hrv_panel/src/s05_fractal_complexity.py:compute_fractal_complexity,CODE_VERIFIED,18,1.13,0.23,1.09,0.28,1.14,0.26,-0.34,0.141,0.92,1.7,0.08,0.702,1,3.89,0.39,0.119,0.436,1.33,0.513,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
DFA_alpha2,Fractal/Complexity,Long-range detrended fluctuation analysis scaling exponent,dimensionless exponent,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s05_fractal_complexity.py::compute_fractal_complexity,exploratory_panel_only,"nolds.dfa; window sizes 16 to min(64,N/4) beats",hrv_panel/src/s05_fractal_complexity.py:compute_fractal_complexity,CODE_VERIFIED,18,0.89,0.19,0.92,0.21,0.88,0.2,0.12,0.766,0.953,3.65,-0.06,0.799,1,4,-0.15,0.766,0.884,0.44,0.801,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
DFA_ratio,Fractal/Complexity,DFA alpha1 divided by DFA alpha2,dimensionless ratio,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s05_fractal_complexity.py::compute_fractal_complexity,exploratory_panel_only,finite positive alpha2,hrv_panel/src/s05_fractal_complexity.py:compute_fractal_complexity,CODE_VERIFIED,18,1.36,0.63,1.28,0.57,1.42,0.73,-0.16,0.766,0.953,3.32,0.16,0.551,1,3.39,0.21,0.551,0.815,0.11,0.946,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
Hurst_exp,Fractal/Complexity,Hurst exponent estimated by rescaled-range analysis,dimensionless exponent,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s05_fractal_complexity.py::compute_fractal_complexity,exploratory_panel_only,nolds.hurst_rs,hrv_panel/src/s05_fractal_complexity.py:compute_fractal_complexity,CODE_VERIFIED,18,0.71,0.1,0.69,0.1,0.71,0.07,-0.16,0.495,0.92,3.35,-0.07,0.523,1,3.93,0.12,0.523,0.806,4,0.135,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
Lyap_max,Fractal/Complexity,Maximum Lyapunov exponent estimate,inverse beat,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s05_fractal_complexity.py::compute_fractal_complexity,exploratory_panel_only,nolds.lyap_r; emb_dim=10; lag=1; min_tsep=10,hrv_panel/src/s05_fractal_complexity.py:compute_fractal_complexity,CODE_VERIFIED,18,0.04,0.03,0.04,0.02,0.04,0.03,0,0.932,0.986,4.11,-0.18,0.393,1,3.16,-0.15,0.346,0.611,1.44,0.486,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
Corr_dim,Fractal/Complexity,Correlation-dimension estimate,dimensionless dimension,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s05_fractal_complexity.py::compute_fractal_complexity,exploratory_panel_only,nolds.corr_dim; emb_dim=10,hrv_panel/src/s05_fractal_complexity.py:compute_fractal_complexity,CODE_VERIFIED,18,-0,0,0,0,-0,0,0.19,0.58,0.92,3.1,-0.1,0.61,1,3.82,-0.19,0.346,0.611,3.11,0.211,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
HFD,Fractal/Complexity,Higuchi fractal dimension,dimensionless dimension,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s05_fractal_complexity.py::compute_fractal_complexity,exploratory_panel_only,antropy.higuchi_fd; kmax=10,hrv_panel/src/s05_fractal_complexity.py:compute_fractal_complexity,CODE_VERIFIED,18,1.74,0.14,1.76,0.16,1.73,0.17,0.24,0.304,0.92,2.66,-0.2,0.61,1,3,-0.37,0.229,0.498,1.33,0.513,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
KFD,Fractal/Complexity,Katz fractal dimension,dimensionless dimension,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s05_fractal_complexity.py::compute_fractal_complexity,exploratory_panel_only,antropy.katz_fd,hrv_panel/src/s05_fractal_complexity.py:compute_fractal_complexity,CODE_VERIFIED,18,3.08,0.58,3.26,1.01,3.05,0.63,0.28,0.551,0.92,2.24,-0.08,0.832,1,3.92,-0.3,0.246,0.52,0.78,0.678,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
beta_1f,Fractal/Complexity,Negative log-log Welch spectral slope over 0.003-0.15 Hz,dimensionless spectral exponent,RRI,phase-specific 4-Hz cubic-spline interpolation; Welch spectral estimation,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_beta_1f,exploratory_panel_only,4-Hz interpolation; Welch nperseg=256,hrv_panel/src/s09_extended_metrics.py:compute_beta_1f,CODE_VERIFIED,18,0.81,0.45,0.88,0.41,0.74,0.32,0.17,0.702,0.927,3.25,-0.17,0.551,1,3.3,-0.33,0.229,0.498,0.78,0.678,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
RQA_REC,RQA,Recurrence rate,%,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_rqa,exploratory_panel_only,embedding dimension=6; delay=1; Chebyshev radius=0.2*SD; minimum line length=2,hrv_panel/src/s09_extended_metrics.py:compute_rqa,CODE_VERIFIED,18,0.01,0.02,0.01,0.01,0.02,0.02,-0.05,0.796,0.953,4.02,0.27,0.0684,1,2.35,0.27,0.287,0.544,3.49,0.174,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
RQA_DET,RQA,Percentage of recurrent points in diagonal lines,%,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_rqa,exploratory_panel_only,embedding dimension=6; delay=1; Chebyshev radius=0.2*SD; minimum line length=2,hrv_panel/src/s09_extended_metrics.py:compute_rqa,CODE_VERIFIED,18,41.04,31.99,37.79,32.56,36.53,31.06,-0.08,0.679,0.927,3.91,-0.13,0.67,1,3.59,-0.03,0.683,0.88,0.1,0.953,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
RQA_Lmean,RQA,Mean diagonal-line length,beats,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_rqa,exploratory_panel_only,embedding dimension=6; delay=1; Chebyshev radius=0.2*SD; minimum line length=2,hrv_panel/src/s09_extended_metrics.py:compute_rqa,CODE_VERIFIED,18,1.87,1.54,1.5,1.13,1.87,1.45,-0.22,0.31,0.92,2.83,-0,0.888,1,4.11,0.25,0.27,0.54,2.5,0.286,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
RQA_Lmax,RQA,Maximum diagonal-line length,beats,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_rqa,exploratory_panel_only,embedding dimension=6; delay=1; Chebyshev radius=0.2*SD; minimum line length=2,hrv_panel/src/s09_extended_metrics.py:compute_rqa,CODE_VERIFIED,18,2.33,2.14,1.83,1.65,2.56,2.38,-0.25,0.262,0.92,2.53,0.11,0.412,1,3.71,0.35,0.213,0.494,2.75,0.253,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
RQA_DIV,RQA,Reciprocal of maximum diagonal-line length,inverse beat,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_rqa,exploratory_panel_only,embedding dimension=6; delay=1; Chebyshev radius=0.2*SD; minimum line length=2,hrv_panel/src/s09_extended_metrics.py:compute_rqa,CODE_VERIFIED,8,0.34,0.13,0.41,0.12,0.3,0.11,0.64,0.156,0.92,0.95,-0.61,0.156,1,0.95,-1.12,0.0234,0.289,NA,NA,exploratory_74_metric_screen,SI_only,limited_estimability,exploratory_hrv_panel_reanalysis,not available in authoritative submitted HRV summary: Friedman_chi2;Friedman_p
RQA_ShanEn,RQA,Natural-log Shannon entropy of diagonal-line lengths,nats,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_rqa,exploratory_panel_only,embedding dimension=6; delay=1; Chebyshev radius=0.2*SD; minimum line length=2,hrv_panel/src/s09_extended_metrics.py:compute_rqa,CODE_VERIFIED,18,0.23,0.4,0.18,0.36,0.34,0.43,-0.12,0.553,0.92,3.67,0.25,0.325,1,2.48,0.38,0.137,0.436,2.53,0.282,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
RQA_LAM,RQA,Percentage of recurrent points in vertical lines,%,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_rqa,exploratory_panel_only,embedding dimension=6; delay=1; Chebyshev radius=0.2*SD; minimum line length=2,hrv_panel/src/s09_extended_metrics.py:compute_rqa,CODE_VERIFIED,18,1.75,7.44,0,0,6.53,18.11,-0.24,0.317,0.92,2.66,0.24,0.273,1,2.65,0.36,0.109,0.436,3.5,0.174,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
RQA_TT,RQA,Mean vertical-line trapping time,beats,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_rqa,exploratory_panel_only,embedding dimension=6; delay=1; Chebyshev radius=0.2*SD; minimum line length=2,hrv_panel/src/s09_extended_metrics.py:compute_rqa,CODE_VERIFIED,18,0.11,0.47,0,0,0.34,0.78,-0.24,0.317,0.92,2.66,0.24,0.257,1,2.63,0.43,0.102,0.436,3.5,0.174,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
Symb_0V,Symbolic Dynamics,Percentage of length-3 symbolic words containing no variation,%,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_symbolic_dynamics,exploratory_panel_only,four equiprobable amplitude levels; word length=3,hrv_panel/src/s09_extended_metrics.py:compute_symbolic_dynamics,CODE_VERIFIED,18,41.29,14.18,39.57,16.95,40.04,14.87,-0.19,0.523,0.92,3.11,-0.12,0.64,1,3.65,0.06,0.702,0.88,0.33,0.847,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
Symb_1V,Symbolic Dynamics,Percentage of length-3 symbolic words containing one variation,%,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_symbolic_dynamics,exploratory_panel_only,four equiprobable amplitude levels; word length=3,hrv_panel/src/s09_extended_metrics.py:compute_symbolic_dynamics,CODE_VERIFIED,18,43.4,8.19,43.8,8.4,43.57,8,0.08,0.899,0.986,3.9,0.03,1,1,4.09,-0.05,0.702,0.88,0.11,0.946,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
Symb_2LV,Symbolic Dynamics,Percentage of length-3 symbolic words containing two like variations,%,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_symbolic_dynamics,exploratory_panel_only,four equiprobable amplitude levels; word length=3,hrv_panel/src/s09_extended_metrics.py:compute_symbolic_dynamics,CODE_VERIFIED,18,3.21,3.24,3.81,4,3.43,2.49,0.26,0.523,0.92,2.38,0.1,0.551,1,3.79,-0.13,0.932,0.986,0.11,0.946,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
Symb_2UV,Symbolic Dynamics,Percentage of length-3 symbolic words containing two unlike variations,%,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_symbolic_dynamics,exploratory_panel_only,four equiprobable amplitude levels; word length=3,hrv_panel/src/s09_extended_metrics.py:compute_symbolic_dynamics,CODE_VERIFIED,18,12.1,6.95,12.82,8.51,12.96,9.81,0.18,0.523,0.92,3.14,0.14,0.766,1,3.52,0.03,0.766,0.884,0.11,0.946,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
GI,Irreversibility,Guzik irreversibility index from positive versus negative squared RRI differences,%,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_irreversibility,exploratory_panel_only,native successive RRI differences,hrv_panel/src/s09_extended_metrics.py:compute_irreversibility,CODE_VERIFIED,18,48.8,4.64,47.99,4.45,48,4.75,-0.27,0.346,0.92,2.35,-0.22,0.468,1,2.85,0,0.932,0.986,1,0.607,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
PI,Irreversibility,Porta irreversibility index: percentage of successive RRI differences below zero,%,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_irreversibility,exploratory_panel_only,zero differences excluded from numerator only as implemented,hrv_panel/src/s09_extended_metrics.py:compute_irreversibility,CODE_VERIFIED,18,47.68,3.63,48.06,3.22,48.02,3.87,0.18,0.393,0.92,3.16,0.16,0.64,1,3.35,-0.02,0.734,0.884,0.11,0.946,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
EIR,Irreversibility,Entropy-based irreversibility from forward versus reversed sample entropy,%,RRI,native finite positive beat-to-beat RRI; metric-specific transformation as listed in key_parameters,project-specific Python wrapper using the listed scientific-Python function or package,hrv_panel/src/s09_extended_metrics.py::compute_irreversibility,exploratory_panel_only,sample entropy order=2,hrv_panel/src/s09_extended_metrics.py:compute_irreversibility,CODE_VERIFIED,18,0.26,0.18,0.35,0.28,0.27,0.22,0.26,0.61,0.92,2.42,0.05,0.799,1,4.02,-0.2,0.468,0.77,1.78,0.411,exploratory_74_metric_screen,SI_only,estimable_all_18,exploratory_hrv_panel_reanalysis,NA
